Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Abstract,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Practice/Task,Notes,Questions ,processed_abstract,x,y
"An Integrated Modeling Framework for Automated Product Design, Topology Optimization, and Mechanical Simulation","Charalampous, Paschalis; Pelekoudas, Athanasios; Kostavelis, Ioannis; Ioannidis, Dimosthenis; Tzovaras, Dimitrios",JOURNAL OF MANUFACTURING AND MATERIALS PROCESSING,2024,http://dx.doi.org/10.3390/jmmp8060285,"The present study introduces an integrated software approach that provides an automated product design toolkit for customized products like knives, incorporating topology optimization (TO) and numerical simulations in order to streamline engineering workflows during the product development procedure. The modeling framework combines state-of-the-art technologies into a single platform, enabling the design and the optimization of mechanical structures with minimal human intervention. In particular, the proposed solution leverages artificial intelligence (AI), shape optimization methods, and computational tools in order to iteratively optimize material utilization as well as the design of products based on certain criteria. By embedding simulation within the design optimization loop, the developed software module ensures that performance constraints are respected throughout the design process. The case studies are concentrated in designing knives, demonstrating the platform's ability to reduce design time, enhance product performance and provide rapid iterations of structurally optimized geometries. Finally, it should be noted that this research showcases the potential of integrated modeling technologies towards the transformation of traditional design paradigms, in this way contributing to faster, more reliable and efficient product development in various engineering industries through the training and deployment of AI models in these scientific fields.",Insudtrial Design/ Engineering design/ product design,product-based,"generated, multimodal",traditional ml,"Design generation, Decision making",develop,"An integrated software toolkit combines Mask R-CNN for blade contour extraction, topology optimization (TO), and finite element simulations in an iterative loop. The AI-driven framework automates design iterations to enforce performance constraints and material efficiency, demonstrated through knife design case studies that improved iteration speed and structural performance",,introduce integrate software provide automated toolkit customize knife incorporate topology optimization numerical simulation order streamline engineering workflow development procedure modeling combine state art technology single platform enable optimization mechanical structure minimal human intervention particular solution leverage artificial intelligence shape optimization computational tool order optimize material utilization base certain criterion embed simulation optimization loop software module ensure constraint respect case concentrate knife demonstrate platform ability reduce time enhance provide rapid iteration optimize geometry note showcase potential integrate modeling technology transformation traditional paradigm way contribute reliable efficient development engineering industry training deployment scientific field,-4.5660367,0.7722112
CAN MACHINE LEARNING TOOLS SUPPORT THE IDENTIFICATION OF SUSTAINABLE DESIGN LEADS FROM PRODUCT REVIEWS? OPPORTUNITIES AND CHALLENGES,"Saidani, Michael; Kim, Harrison; Yannou, Bernard","PROCEEDINGS OF ASME 2021 INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, IDETC-CIE2021, VOL 3A",2021,https://doi.org/10.1115/DETC2021-70613,"The increasing number of product reviews posted online is a gold mine for designers to know better about the products they develop, by capturing the voice of customers, and to improve these products accordingly. In the meantime, product design and development have an essential role in creating a more sustainable future. With the recent advance of artificial intelligence techniques in the field of natural language processing, this research aims to develop an integrated machine learning solution to obtain sustainable design insights from online product reviews automatically. In this paper, the opportunities and challenges offered by existing frameworks including Python libraries, packages, as well as state-of-the-art algorithms like BERT - are discussed, illustrated, and positioned along an ad hoc machine learning process. This contribution discusses the opportunities to reach and the challenges to address for building a machine learning pipeline, in order to get insights from product reviews to design more sustainable products, including the five following stages, from the identification of sustainability-related reviews to the interpretation of sustainable design leads: data collection, data formatting, model training, model evaluation, and model deployment. Examples of sustainable design insights that can be produced out of product review mining and processing are given. Finally, promising lines for future research in the field are provided, including case studies putting in parallel standard products with their sustainable alternatives, to compare the features valued by customers and to generate in fine relevant sustainable design leads.",Insudtrial Design/ Engineering design/ product design,perception,text,"traditional ml, deep models","Sense making, decision making",define,"Uses a pipeline of NLP techniques (sentiment analysis, topic modeling with LDA, aspect-based sentiment analysis), with discussions of pre-trained deep models like BERT for fine-tuning sentiment classification. Traditional ML and text mining methods (e.g., Bag of Words, TF-IDF) also considered.","Conceptual with minimal case study application, do we include",increase number review post gold designer know well capture voice customer improve meantime development essential role create sustainable future recent advance artificial intelligence field natural language processing aim integrate machine learning solution obtain sustainable insight online review opportunity challenge offer exist include python library package state art discuss illustrate position machine learning contribution discuss opportunity reach challenge address build machine learning pipeline order insight review sustainable include follow stage identification sustainability relate review interpretation sustainable lead datum collection datum formatting training deployment example sustainable insight produce review mining processing give promise line future field provide include case put parallel standard sustainable alternative compare feature value customer generate fine relevant sustainable lead,-2.3535128,-0.9234006
Weaving ML with Human Aesthetic Assessments to Augment Design Space Exploration: An Automotive Wheel Design Case Study,"Jeon, Youngseung; Hong, Matthew K.; Chen, Yan-Ying; Murakami, Kalani; Li, Jonathan; Chen, Xiang 'Anthony'; Klenk, Matthew","EXTENDED ABSTRACTS OF THE 2024 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2024",2024,http://dx.doi.org/10.1145/3613905.3637103,"Consumers' emotional and cognitive attachment to product design plays a pivotal role in influencing purchasing choices. Therefore, product designers incorporate this signal as they develop new products. The goal of our work is to reduce the psychological distance between designers and consumers in the automotive concept design process. While generative AI models hold the potential to amplify creativity, these models do not have any of this specialized knowledge. In this work, we developed a novel framework and system that combines machine learning, human aesthetic assessments, and visualization to support designers in organizing a large space of automotive wheel designs. We present a case study with 10 automotive designers using the tool to inspire novel wheel designs and end with a discussion of use cases and design implications for using this framework to support professional product design practice.",Insudtrial Design/ Engineering design/ product design,product-based,multimodal (image mainly),"deep models, gen ai, traditional ml, exploratory data analysis",sense making,discover,ViT feature extraction → t-SNE reduction → K-means clustering for style map; CLIP text–image keyword scoring; ControlNet latent-diffusion interpolation for style mixing.,,consumer emotional cognitive attachment play pivotal role influence purchasing choice designer incorporate signal new goal work reduce psychological distance designer consumer automotive concept generative hold potential amplify creativity specialized knowledge work novel combine machine learning human aesthetic assessment visualization support designer organize large space automotive wheel case automotive designer tool inspire novel wheel end discussion use case implication support professional practice,-2.5116153,-0.23134263
Data-Driven Global Sensitivity Analysis of Variable Groups for Understanding Complex Physical Interactions in Engineering Design,"Dolar, Tuba; Lee, Doksoo; Chen, Wei",JOURNAL OF MECHANICAL DESIGN,2024,http://dx.doi.org/10.1115/1.4064633,"In engineering design, global sensitivity analysis (GSA) is used for analyzing the effects of inputs on the system response and is commonly studied with analytical or surrogate models. However, such models fail to capture nonlinear behaviors in complex systems and involve several modeling assumptions. Besides model-focused methods, a data-driven GSA approach, rooted in interpretable machine learning, would also identify the relationships between system components. Moreover, a special need in engineering design extends beyond performing GSA for input variables individually, but instead evaluating the contributions of variable groups on the system response. In this article, we introduce a flexible, interpretable artificial neural network model to uncover individual as well as grouped global sensitivity indices for understanding complex physical interactions in engineering design problems. The proposed model allows the investigation of the main effects and second-order effects in GSA according to functional analysis of variance (FANOVA) decomposition. To draw a higher-level understanding, we further use the subset decomposition method to analyze the significance of the groups of input variables. Using the design of a programmable material system (PMS) as an example, we demonstrate the use of our approach for examining the impact of material, architecture, and stimulus variables as well as their interactions. This information lays the foundation for managing design space complexity, summarizing the relationships between system components, and deriving design guidelines for PMS development.",Insudtrial Design/ Engineering design/ product design,product-based,time series,"deep models, exploratory data analysis","Sense making, decision making",define,"Intrinsically interpretable ANN with FANOVA-based decomposition to compute individual global sensitivity indices, followed by subset decomposition to obtain grouped indices; supports nonlinear, mixed (continuous/categorical) inputs without analytical or surrogate models; demonstrated on a programmable material system (PMS) with material/architecture/stimulus groups to derive design guidelines.",,engineering global sensitivity gsa analyze effect input response analytical surrogate fail capture nonlinear behavior complex involve modeling assumption focus drive gsa root interpretable machine learning identify relationship component special need engineering extend perform gsa input variable evaluate contribution variable group response article introduce flexible interpretable artificial neural network uncover individual group global sensitivity index understand complex physical interaction engineering problem allow investigation main effect second order effect gsa accord functional variance decomposition draw high level understanding use subset decomposition analyze significance group input variable programmable material example demonstrate use examine impact material architecture stimulus variable interaction information lay foundation manage space complexity summarize relationship component derive guideline development,-3.8774514,0.231579
Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning: application to vehicle crash safety,"Yoo, Yeongmin; Park, Chang-Kyu; Lee, Jongsoo",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,2022,http://dx.doi.org/10.1007/s00158-022-03290-1,"Deep learning-based metamodeling can approximate complex engineering systems based on design data, but it has limitations in acquiring a large amount of data through experiments or simulations. When the design data for metamodeling are insufficient, data can be generated through generative models of deep learning. This study proposes a deep learning-based efficient metamodeling method called domain knowledge-integrated designable data augmentation (DDA) with transfer learning for engineering design. The DDA is a metamodel that applies an inverse generator to existing data augmentation algorithms. Virtual responses can be generated using a small number of actual responses to predict the performance of an engineering system and estimate the design variables that affect the generated virtual responses. Moreover, a rapid and accurate design can be achieved by applying transfer learning and domain knowledge-based learning to DDA. The proposed algorithm was applied to the design of a bumper considering vehicle crash safety. As a result, virtual responses that were approximately 95% similar to the actual responses were generated, and design solutions were derived. In addition, the validity of the proposed algorithm was verified by comparing it with existing metamodels. [GRAPHICS] .",Insudtrial Design/ Engineering design/ product design,product-based,time series,"Deep models, traditional ml","prediction, decision making",develop,domain-knowledge-integrated designable data augmentation (DDA). Uses inverse generator to augment limited design data; applies transfer learning to predict virtual crash responses (~95% accuracy); aids in identifying critical design variables and deriving safe bumper design solutions.,,deep learning base metamodeling approximate complex engineering base datum limitation acquire large datum simulation datum metamodeling insufficient datum generate generative deep learning deep learning base efficient metamodeling call domain knowledge integrate designable datum augmentation transfer learning engineering metamodel apply inverse generator exist datum augmentation virtual response generate small number actual response predict engineering estimate variable affect generate virtual response rapid accurate achieve apply transfer learning domain knowledge base learning apply bumper consider vehicle crash safety virtual response similar actual response generate solution derive addition validity verify compare exist metamodel graphic,-5.193541,1.2416364
NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN,"Zdravkovic, Milan; Korunovic, Nikola",FACTA UNIVERSITATIS-SERIES MECHANICAL ENGINEERING,2023,http://dx.doi.org/10.22190/FUME200828008Z,"Mass-customization is related to optimizing the balance between flexibility, strongly required by the customer-focused industries and manufacturing efficiency, which is critical for market competitiveness. In the conventional industries, the process of designing, validating and manufacturing a product is long and expensive. Some of the common approaches for addressing those issues are parametric product modeling and Finite Element Analysis (FEA). However, the costs involved are still relatively high because of the very special expertise needed and the cost of the specialized software. Also, the specific design of the product cannot be validated in a real-time, which often leads to making hard compromises between the specific customer requirements and the structural properties of the product in its exploitation. In this paper, we propose the novel methodology for real-time structural analysis assistance for custom product design. We introduce the concept of so-called compiled FEA model, a Machine Learning (ML) model, consisting of dataset of characteristic product parameters and associated physical quantities and properties, selected ML algorithms and the sets of associated hyperparameters. A case study of creating a compiled FEA model for the case of internal orthopedic fixator is provided.",Insudtrial Design/ Engineering design/ product design,product-based,time series,traditional ml,"prediction, decision making",develop,"Proposed a compiled FEA surrogate framework: parametric dataset generated via DOE + FEA, then trained ensemble regression models (e.g., Gradient Boosting, RF) to replace costly FEA in real time. Validated on a custom internal fixator design case, achieving accurate stress/deflection predictions and enabling interactive CAD feedback.",,mass customization relate optimize balance flexibility require customer focus industry manufacturing efficiency critical market competitiveness conventional industry designing validate manufacture long expensive common address issue parametric modeling element fea cost involve high special expertise need cost specialized software specific validate real time lead make hard compromise specific customer requirement structural property exploitation novel methodology real time structural assistance custom introduce concept call compile machine learning consist dataset characteristic parameter associate physical quantity property select set associate hyperparameter case create compile fea case internal orthopedic fixator provide,-4.273209,-0.021332722
Contextual Meaning-Based Approach to Fine-Grained Online Product Review Analysis for Product Design,"Park, Kyunghoon; Park, Seyoung; Joung, Junegak",IEEE ACCESS,2024,http://dx.doi.org/10.1109/ACCESS.2023.3343501,"Customers share their opinions about a product through online reviews. Companies incorporate customer opinions into product design to increase customer satisfaction and market success. Many studies have attempted to analyze customer opinions on specific product features. However, these studies do not attempt to understand the actual intent of customers when mentioning a product feature in the context of a review. To overcome this limitation, this study develops a contextual meaning-based approach that considers the contextual meanings of product features in reviews. This approach enables a deeper understanding of the intent behind the target features of a product. First, a large language model-based word embedding model and clustering algorithms are introduced to divide product features into sub-features based on contextual meanings. Second, a new method is developed for creating a contextual word map to interpret the clustering results. Third, a sentiment analysis is performed to evaluate customer satisfaction for each sub-feature using BERT. A case study of a television product was conducted to demonstrate the applicability of the developed approach. The results showed that, unlike in other studies, several sub-features were identified from four targeted TV features based on their contextual meanings. Furthermore, customer satisfaction was evaluated for each sub-feature. This study is the first attempt at providing a fine-grained online product review analysis based on unsupervised learning to clarify meanings according to the context. The developed approach can be useful for determining detailed directions for improvement in the product design process and is expected to offer a new perspective.",Insudtrial Design/ Engineering design/ product design,perception,text,"traditional ml, deep models","sense making, prediction ",define,Uses BERT-based contextual embeddings to cluster feature mentions into sub-features; builds contextual word maps to interpret clusters; sentiment analysis per sub-feature provides fine-grained customer satisfaction insights.,,customer share opinion online review company incorporate customer opinion increase customer satisfaction market success attempt analyze customer opinion specific feature attempt understand actual intent customer mention feature context review overcome limitation contextual meaning base consider contextual meaning feature review enable deep understanding intent target feature large language base word embed clustering introduce divide feature sub feature base contextual meaning second new create contextual word map interpret cluster sentiment perform evaluate customer satisfaction sub feature case television conduct demonstrate applicability developed sub feature identify targeted feature base contextual meaning customer satisfaction evaluate sub feature attempt provide grain online review base unsupervised learning clarify meaning accord context developed useful determine detailed direction improvement expect offer new perspective,-2.8427153,-1.3540068
Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,"Romeo, Luca; Loncarski, Jelena; Paolanti, Marina; Bocchini, Gianluca; Mancini, Adriano; Frontoni, Emanuele",EXPERT SYSTEMS WITH APPLICATIONS,2020,http://dx.doi.org/10.1016/j.eswa.2019.112869,"In the engineering practice, it frequently occurs that designers, final or intermediate users have to roughly estimate some basic performance or specification data on the basis of input data available at the moment, which can be time-consuming. There is the need for a tool that will fill the missing gap in the optimization problems in engineering design processes, by making use of the advances in the artificial intelligence field. This paper aims to fill this gap by introducing an innovative Design Support System (DesSS), originated from the Decision Support System, for the prediction and estimation of machine specification data such as machine geometry and machine design on the basis of heterogeneous input parameters. As the main core of the developed DesSS, we introduced different machine learning (ML) approaches based on Decision/Regression Tree, k-Nearest Neighbors, and Neighborhood Component Features Selection. Experimental results obtained on a real use case and using two different real datasets demonstrated the reliability and the effectiveness of the proposed approach. The innovative machine learning-based DesSS meant for supporting the designing choice, can bring various benefits such as the easier decision-making, conservation of the company's knowledge, savings in man-hours, higher computational speed and accuracy. (C) 2019 Elsevier Ltd. All rights reserved.",Insudtrial Design/ Engineering design/ product design,produce-based,text? (parameter estimates),traditional ml,"prediction, decision making",develop,"Introduces a Design Support System (DesSS) that uses ML algorithms—Decision Trees, KNN, NCFS—for predicting machine specifications (geometry, performance) from available heterogeneous input. Validated on real datasets; benefits include faster decision-making, knowledge conservation, reduced man-hours, high accuracy.",,engineering practice occur designer final intermediate estimate basic specification datum basis input datum available moment time consume need tool fill miss gap optimization problem engineering make use advance artificial intelligence field aim fill gap introduce innovative support desss originate decision support prediction estimation machine specification datum machine geometry machine basis heterogeneous input parameter main core desss introduce different machine learning base decision regression tree near neighbor neighborhood component feature selection experimental obtain real use case different real dataset demonstrate reliability effectiveness innovative machine learning base desss mean support choice bring benefit easy decision making conservation company knowledge saving man hour high computational speed accuracy elsevi right reserve,-4.124729,0.67856395
Product Design Award Prediction Modeling: Design Visual Aesthetic Quality Assessment via DCNNs,"Wu, Jianfeng; Xing, Baixi; Si, Huahao; Dou, Jian; Wang, Jin; Zhu, Yuning; Liu, Xiaojian",IEEE ACCESS,2020,http://dx.doi.org/10.1109/ACCESS.2020.3039715,"A visual aesthetic is a crucial determinant of product design evaluation. Through the analysis of image features, not only can we evaluate the aesthetic level, but also we can reveal the whole quality of the design proposal. We assume that it could be a potential pattern to predict the ultimate success of the proposal in product design that a visual aesthetic can be a cue for award classification modeling. Consequently, we conduct investigation on a dataset of over 10,003 design submissions in a design competition held once a year from 2008 to 2018 in order to manifest the assumption. Due to the remarkable performance of deep convolutional neural networks (DCNNs), we compare seven deep learning methods to explore an optimal model for design award prediction based on product image analysis. The result of the experiments indicates that the proposed method achieves comparative accuracy in design award classification result predication, with the optimal classification accuracy of 70.79% using the SEFL-ResNet (Squeeze and Excitation - Focal Loss - ResNet) method.",Insudtrial Design/ Engineering design/ product design,product-based,image,deep models,"prediction, sense making",dfine,"Uses DCNNs to analyze cropped product layout images (from award submissions and eliminated ones), predicting aesthetic quality and modeling award likelihood.",,visual aesthetic crucial determinant image feature evaluate aesthetic level reveal quality proposal assume potential pattern predict ultimate success proposal visual aesthetic cue award classification modeling conduct investigation dataset submission competition hold year order manifest assumption remarkable deep convolutional neural network dcnn compare deep learning explore optimal award prediction base image indicate achieve comparative accuracy award classification predication optimal classification accuracy sefl resnet squeeze excitation focal loss resnet,-3.5695984,2.0707283
Leveraging deep reinforcement learning for design space exploration with multi-fidelity surrogate model,"Li, Haokun; Wang, Ru; Wang, Zuoxu; Li, Guannan; Wang, Guoxin; Yan, Yan",JOURNAL OF ENGINEERING DESIGN,2024,http://dx.doi.org/10.1080/09544828.2024.2366686,"Design automation is undergoing a new generation of changes caused by artificial intelligence technologies represented by deep learning and reinforcement learning. Notably, the advantages of deep reinforcement learning in addressing solution optimisation and decision-making tasks with cognitive automation functionality have garnered attention in design. In the context of surrogate model-driven engineering design optimisation, this paper addresses current research challenges such as reliance on domain knowledge for local development, shortcomings in the self-learning and adaptive capabilities of optimisation algorithms for global exploration, etc. Centred around the deep reinforcement learning model, Deep Q-learning, and complemented by self-organising maps and neural network technologies, we propose a methodology considering multi-fidelity simulation data for design space exploration. This approach effectively reduces sampling costs and enables the optimisation model to learn the optimal direction for high-precision predictions and achieve rapid, accurate optimisation. Finally, the effectiveness of the proposed method is comprehensively validated through four typical optimisation scenarios and a case study involving the optimisation of a wheeled robot's suspension swing arm structure. This work will be a crucial reference for applying deep reinforcement learning in simulation-driven engineering design optimisation.",Insudtrial Design/ Engineering design/ product design,product-based,time series,"deep models, reinforcement learning","decision making, prediction, ",develop,Uses Deep Q-learning augmented with self-organizing maps; integrates multi-fidelity simulation models (low- and high-fidelity) to reduce sampling cost and improve exploration; validated in four optimization scenarios and a wheeled robot case study.,,automation undergo new generation change cause artificial intelligence technology represent deep learning reinforcement learning advantage deep reinforcement learning address solution optimisation decision make task cognitive automation functionality garner attention context surrogate drive engineering optimisation address current challenge reliance domain knowledge local development shortcoming self learn adaptive capability optimisation global exploration centre deep reinforcement learning deep learning complement self organise map neural network technology methodology consider multi fidelity simulation datum space exploration reduce sampling cost enable optimisation learn optimal direction high precision prediction achieve rapid accurate optimisation effectiveness validate typical optimisation scenario case involve optimisation wheeled robot suspension swing arm structure work crucial reference apply deep reinforcement learning simulation drive engineering optimisation,-4.783474,1.7709577
Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),"Aparicio-Aparicio, Inmaculada; Ruescas-Nicolau, Maria-Arantzazu; Duenas, Lirios; Sanchez-Jimenez, Jose Luis; Sanchez-Sanchez, M. Luz; Alcantara, Enrique",APPLIED ARTIFICIAL INTELLIGENCE,2024,http://dx.doi.org/10.1080/08839514.2024.2411780,"The COVID-19 pandemic led to a surge in facial mask usage. Analyzing customer feedback is crucial for enhancing this product, given the abundance of options and online reviews available. Techniques like Latent Dirichlet Allocation (LDA) combined with machine learning (ML) models help identify product attributes and their impact on reviews. However, successful models frequently employ black-box techniques that fail to explain how product attributes impact customer satisfaction. To address this, Explainable Artificial Intelligence (XAI) combined with advanced ML methods is suggested to create interpretable models. This paper evaluates the usefulness of combining LDA for topic modeling, Gradient Boost trees (GBT) for ML, and SHapley Additive exPlanations (SHAP) to develop an interpretable model for face mask attribute impact on online ratings. Analyzing 2,047 reviews of 35 mask products revealed seven key attributes. Labeling and nose-strap significantly influenced evaluations, while shopping experience, and packaging, filtering level, and fit were less impactful. This research supports the use of topic modeling combined with advanced ML techniques and XAI in analyzing online customer reviews to offer a time- and cost-effective method. It aids in understanding product attributes influencing satisfaction for product design and improvement, especially in the dynamic context of face mask preferences and purchasing decisions.",Insudtrial Design/ Engineering design/ product design,perception,text,"deep models, traditional ml, exploratory data analysis","sense making, prediction",define,"applies BERT + CNN to extract textual features from online reviews; XGBoost/DT/RF used for predicting review ratings; SHAP-based explainability employed to highlight key product attributes (e.g., comfort, material, fragrance) influencing satisfaction.",,pandemic lead surge facial mask usage analyze customer feedback crucial enhance give abundance option online review available latent dirichlet allocation combine machine learning help identify attribute impact review successful employ black box fail explain impact customer satisfaction address explainable artificial intelligence combine advanced suggest create interpretable evaluate usefulness combine topic modeling gradient boost tree gbt shapley additive explanation shap interpretable face mask attribute impact online rating analyze review mask reveal key attribute labeling nose strap influence shopping experience packaging filtering level fit impactful support use topic modeling combine advanced xai analyze online customer review offer time- cost effective aid understand attribute influence satisfaction improvement dynamic context face mask preference purchasing decision,-2.6631098,-1.2739255
Efficiency Monitoring of Engineering System Designer Work Based on Multi-System User Behavior Analysis with AI/ML Algorithms,"Nikiforova, Oksana; Rizhko, Ruslan; Zabiniako, Vitaly; Babris, Kristaps; Kornienko, Jurijs; Gasparovica-Asitc, Madara",2021 IEEE 62ND INTERNATIONAL SCIENTIFIC CONFERENCE ON POWER AND ELECTRICAL ENGINEERING OF RIGA TECHNICAL UNIVERSITY (RTUCON),2021,http://dx.doi.org/10.1109/RTUCON53541.2021.9711720,"Efficiency monitoring is one of the important tasks in monitoring of employees activities, the solution of which is constantly in the focus of researchers and is still not supported by automated methods and universal tools. This task is especially relevant if the field of activity is narrowly specific, and solving such a task of efficiency monitoring is not a trivial accumulation of statistical data, but requires a unique method. However, potentially the method of evaluating the work efficiency of this specific field is not commonly used or adaptable in the analysis of a wide range of activities. The work of an engineering system designer is an example of such specific activities. This paper offers a method for construction of a unified model of behavior of users of specialized IT systems in the engineering design industry, which offers to evaluate the efficiency of work based on the development of a user profile that collects information about the designer's activities, sequence and times. The method defines the input data, the result output data, AI/ML algorithms for output data acquisition and is supported with the prototype system for the visual representation of the expected result, which is based on the input / output data regularities.",Insudtrial Design/ Engineering design/ product design,Behavioral-based,time series,"Traditional ML, exploratory data analysis","Sense making, decision making",develop,"integrates user activity logs from AutoCAD (via custom plugin) and LOTSIA PDM, constructs unified user behavior models, and applies Markov chain analysis to detect typical/atypical workflows. Prototype system visualizes workflows for efficiency monitoring.","Should “Markov chain analysis” be strictly coded as Traditional ML, or is it better placed under Exploratory data analysis since it’s primarily used for behavior pattern discovery rather than prediction?",efficiency monitoring important task monitoring employee activity solution focus researcher support automated universal tool task relevant field activity specific solve task efficiency monitoring trivial accumulation statistical datum require unique evaluate work efficiency specific field adaptable wide range activity work engineering designer example specific activity offer construction unified behavior specialize engineering industry offer evaluate efficiency work base development profile collect information designer activity sequence time define input datum output datum output datum acquisition support prototype visual representation expect base input output datum regularity,-1.9686934,1.2479306
Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,"Alcaide-Marzal, Jorge; Diego-Mas, Jose Antonio",COMPUTERS IN INDUSTRY,2025,http://dx.doi.org/10.1016/j.compind.2024.104168,"This preliminary research presents a comparative study between Text-to-Image AI models and Shape Grammars, one of the main generative approaches to Computer Aided Conceptual Design. The goal is to determine to which extent AI models can reproduce or complement the performance of grammar algorithms as creative support tools for shape exploration in conceptual product design. Workflows, advantages and limitations are identified through a comprehensive practical comparison example. The results show many similarities regarding generative capabilities and highlight several advantages of Text-to-Image AI models, including an easier way of capturing product grammars and a wider and more immediate range of further applications. In contrast, Shape Grammars approach proved more solid in aspects related to exploration workflows and cognitive stimulation. These results encourage the research on new ways to address the interaction between designers and AI generative models, combining the AI potential with well-established generative strategies.",Insudtrial Design/ Engineering design/ product design,produce-based,multimodal,gen ai ,"design generation, sense making","discovery, define","Comparative practical study between Shape Grammars and Stable Diffusion for supporting formal exploration in conceptual design. Highlights how text-to-image models offer faster, broader creative exploration and can be integrated into existing design methods.",,preliminary comparative text image shape grammar main generative computer aid conceptual goal determine extent reproduce complement grammar creative support tool shape exploration conceptual workflow advantage limitation identify comprehensive practical comparison example similarity generative capability highlight advantage text image include easy way capture grammar wide immediate range contrast shape grammar prove solid aspect relate exploration workflow cognitive stimulation encourage new way address interaction designer generative combine potential establish generative strategy,-2.3655775,0.97954035
Learning to Design Without Prior Data: Discovering Generalizable Design Strategies Using Deep Learning and Tree Search,"Raina, Ayush; Cagan, Jonathan; McComb, Christopher",JOURNAL OF MECHANICAL DESIGN,2023,http://dx.doi.org/10.1115/1.4056221,"Building an Artificial Intelligence (AI) agent that can design on its own has been a goal since the 1980s. Recently, deep learning has shown the ability to learn from large-scale data, enabling significant advances in data-driven design. However, learning over prior data limits us only to solve problems that have been solved before and biases data-driven learning toward existing solutions. The ultimate goal for a design agent is the ability to learn generalizable design behavior in a problem space without having seen it before. We introduce a self-learning agent framework in this work that achieves this goal. This framework integrates a deep policy network with a novel tree search algorithm, where the tree search explores the problem space, and the deep policy network leverages self-generated experience to guide the search further. This framework first demonstrates an ability to discover high-performing generative strategies without any prior data, and second, it illustrates a zero-shot generalization of generative strategies across various unseen boundary conditions. This work evaluates the effectiveness and versatility of the framework by solving multiple versions of two engineering design problems without retraining. Overall, this paper presents a methodology to self-learn high-performing and generalizable problem-solving behavior in an arbitrary problem space, circumventing the need for expert data, existing solutions, and problem-specific learning.",Insudtrial Design/ Engineering design/ product design,generated,multimodal,"deep models, reinforcement learning","design generation, sense making",discovery,Introduces a self-learning agent that uses a deep policy network and novel tree-search algorithm to discover generative strategies in design spaces without any prior data; demonstrates zero-shot strategy generalization across unseen boundary conditions and multiple design tasks.,,build artificial intelligence agent goal deep learning ability learn large scale datum enable significant advance drive learn prior datum limit solve problem solve bias drive learning exist solution ultimate goal agent ability learn generalizable behavior problem space see introduce self learn agent work achieve goal integrate deep policy network novel tree search tree search explore problem space deep policy network leverage self generate experience guide search demonstrate ability discover perform generative strategy prior datum illustrate shot generalization generative strategy unseen boundary condition work evaluate effectiveness versatility solve multiple version engineering problem retrain methodology self learn perform generalizable problem solve behavior arbitrary problem space circumvent need expert datum existing solution problem specific learning,-5.0012846,1.3313851
Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,"Liao, Hao-Yu; Esmaeilian, Behzad; Behdad, Sara",JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,2024,http://dx.doi.org/10.1115/1.4063561,"Despite the importance of product repairability, current methods for assessing and grading repairability are limited, which hampers the efforts of designers, remanufacturers, original equipment manufacturers (OEMs), and repair shops. To improve the efficiency of assessing product repairability, this study introduces two artificial intelligence (AI) based approaches. The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores. The second approach is an unsupervised learning framework that combines feature extraction and cluster learning to identify product design features and group devices with similar designs. It utilizes an oriented FAST and rotated BRIEF feature extractor (ORB) along with k-means clustering to extract features from teardown images and categorize products with similar designs. To demonstrate the application of these assessment approaches, smartphones are used as a case study. The results highlight the potential of artificial intelligence in developing an automated system for assessing and rating product repairability.",Insudtrial Design/ Engineering design/ product design,product based,image,"traditional ml, exploratory data analysis","prediction, sense making",develop,"(1) Supervised image classification using transfer-learned ConvNeXt, ResNet50, GoogLeNet to score repairability. (2) ORB feature extraction and k-means clustering to identify design similarities and cluster products based on repairability features; case study uses smartphones.",,importance repairability current assess grade repairability limited hamper effort designer remanufacturer original equipment manufacturer oem repair shop improve efficiency assess repairability introduce artificial intelligence base supervised learning utilize object detection teardown image measure repairability transfer learning employ machine learning architecture googlenet resnet50 evaluate repairability score second unsupervised learn combine feature extraction cluster learning identify feature group device similar utilize orient fast rotate brief feature extractor orb mean cluster extract feature teardown image categorize similar demonstrate assessment smartphone case highlight potential artificial intelligence automate assess rate repairability,-3.8270552,0.9727409
