Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
156,PIKAR: A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,Design Phase,This section introduces the construction of a pixel-level Kansei prediction system. Method validatio...,Y,LOCAL,80,PARTIAL,NONE,"This section introduces the construction of a pixel-level Kansei prediction system. Method validation is performed based on the evaluation of cosmetic packaging's kawaii. Two neural nets trained on 1,414 images, labeled by eight participants based on their perception of kawaii (1–5 Likert Scale), have achieved a better prediction than test persons. The implemented neuron analysis methodology for Kansei analysis points towards consistency with previous experimental kawaii studies.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:18.457140
156,PIKAR: A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,AI methods,"For all experiments, we use a modified AlexNet [19] as the base model for transfer learning: we star...",Y,LOCAL,80,PARTIAL,NONE,"For all experiments, we use a modified AlexNet [19] as the base model for transfer learning: we start with weights pre-trained on a larger dataset to increase model accuracy. Contrary to element-level KES, our method is an end-to-end, pixel-level approach that recognizes product Kansei from raw pixel distribution without prior feature handcrafting or extraction.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:18.673155
102,Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,Data Modality,Recognizing and segmenting complex texture images such as materials is of great significance to indu...,Y,LOCAL,80,PARTIAL,NONE,"Recognizing and segmenting complex texture images such as materials is of great significance to industrial design and production. Material images contain abundant microstructural information, recognizing material image microstructure is the first step of quantitative analysis. We evaluate our method on 4 different material data sets. Fig. 6(a) is carbon steel A images. Fig. 6(b) is the carbon steel B images; Fig. 6(c) is the ceramics images. Fig. 6(d) is the wood surface image data set.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:23.059585
102,Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,"AI Assistance Types (Lee and Kim, 2025)","The generated model after the training round is used to predict the category of rectangular blocks, ...",Y,LOCAL,80,PARTIAL,NONE,"The generated model after the training round is used to predict the category of rectangular blocks, which represents the pixel of the middle in each rectangular block. Recognizing material image microstructure is the first step of quantitative analysis. Material images contain abundant microstructural information, recognizing material image microstructure is the first step of quantitative analysis.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:23.177370
102,Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,AI methods,we propose a method based on deep learning for recognizing and segmenting material images with compl...,Y,LOCAL,80,PARTIAL,NONE,"we propose a method based on deep learning for recognizing and segmenting material images with complex textures. Firstly, the simple linear iterative cluster (SLIC) algorithm is used to obtain different numbers of superpixels which are a group of pixels with similar texture features. Then we extract the largest inscribed rectangular block in each superpixel. Next, put these rectangular blocks into the classical convolutional neural network (CNN)—DenseNet to recognize them.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:23.401311
102,Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,Design Discipline,Recognizing and segmenting complex texture images such as materials is of great significance to indu...,Y,LOCAL,80,PARTIAL,NONE,"Recognizing and segmenting complex texture images such as materials is of great significance to industrial design and production. Discovering and designing new materials is very important for the development of the industry. Researching the relationship among material macro properties, microstructure and preparation processes is fundamental to developing the new materials.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:23.500701
141,"Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques",AI methods,"These models are shallow, double-layer neural networks used to associate the semantic and linguistic...",Y,LOCAL,80,PARTIAL,NONE,"These models are shallow, double-layer neural networks used to associate the semantic and linguistic context of words. Word2vec is a machine learning approach that generates word vectors from a training text dataset. The K-means algorithm groups the sentences of each specification. This research develops an integrated natural language processing (NLP), text mining, and machine learning approach for intelligent RFQ summarization.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:23.561397
102,Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,Design Phase,we propose a method based on deep learning for recognizing and segmenting material images with compl...,Y,LOCAL,80,PARTIAL,NONE,"we propose a method based on deep learning for recognizing and segmenting material images with complex textures. Firstly, the simple linear iterative cluster (SLIC) algorithm is used to obtain different numbers of superpixels which are a group of pixels with similar texture features. Then we extract the largest inscribed rectangular block in each superpixel. Next, put these rectangular blocks into the classical convolutional neural network (CNN)—DenseNet to recognize them.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:23.603184
141,"Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques",Design Practice/Task,The summarization system helps engineers shorten the time to identify all specifications and reduces...,Y,LOCAL,100,EXACT,NONE,The summarization system helps engineers shorten the time to identify all specifications and reduces the risk of missing important requirements during manual RFQ reading. The system helps improve the complex product design for manufacturers and improve the cost estimation and competitiveness of quotations in a highly competitive marketplace.,Found via local text search (full match),2025-11-28T15:50:23.604490
102,Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,Design Practice/Task,"In this paper, we propose a method based on deep learning for recognizing and segmenting material im...",Y,LOCAL,80,PARTIAL,NONE,"In this paper, we propose a method based on deep learning for recognizing and segmenting material images with complex textures. We propose a material image segmentation method based on the superpixel algorithm and deep learning. We make extensive comparative and ablation experiments to confirm the effectiveness of our method.",Found via local text search (partial match - first 50 chars),2025-11-28T15:50:23.610764
