index,filename,pdf_found,sheets_matched,sheets_updated,row_number,error,timestamp
80,80_A Tool to Facilitate the Cross-Cultural Design Process Using Deep Learning.pdf,True,True,False,81,,2025-10-15T15:17:51.073379
81,81_Social Computational Design Method for Generating Product Shapes with GAN and Transformer Models.pdf,True,True,False,82,,2025-10-15T15:17:51.073413
82,82_A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation.pdf,True,True,False,83,,2025-10-15T15:17:51.073426
83,83_The perceived value of human-AI collaboration in early shape exploration An exploratory assessment.pdf,True,True,False,84,,2025-10-15T15:17:51.073435
84,84_SketchCleanNet - A deep learning approach to the enhancement and correction of query sketches for a 3D CAD model retrieval system.pdf,True,True,False,85,,2025-10-15T15:17:51.073444
86,86_Ecological Design with the Use of Selected Inventive Methods including AI-Based.pdf,True,True,False,87,,2025-10-15T15:17:51.073453
87,87_Reinforcement for Automation.pdf,True,True,False,88,,2025-10-15T15:17:51.073468
88,88_Weighted unsupervised domain adaptation considering geometry features and engineering performance of 3D design data.pdf,True,True,False,89,,2025-10-15T15:17:51.073478
89,89_CREATIVEGAN EDITING GENERATIVE ADVERSARIAL NETWORKS FOR CREATIVE DESIGN SYNTHESIS.pdf,True,True,False,90,,2025-10-15T15:17:51.073485
90,90_Packaging design of virtual manufacturing products based on computer vision and big data.pdf,True,True,False,91,,2025-10-15T15:17:51.073493
91,"91_Using Online Customer Reviews to Classify, Predict, and Learn About Domestic Robot Failures.pdf",True,True,False,92,,2025-10-15T15:17:51.073502
92,92_Manifold learning for coherent design interpolation based on geometrical and topological descriptors.pdf,True,True,False,93,,2025-10-15T15:17:51.073509
94,94_Generative adaptable design based on hidden Markov model.pdf,True,True,False,95,,2025-10-15T15:17:51.073518
95,95_Machine Learning-Based System for Heat-Resistant Analysis of Car Lamp Design.pdf,True,True,False,96,,2025-10-15T15:17:51.073525
96,96_Product Innovation Design Method Based on BP Neural Network.pdf,True,True,False,97,,2025-10-15T15:17:51.073533
98,98_Supervised deep learning for the moving morphable components topology optimization framework.pdf,True,True,False,99,,2025-10-15T15:17:51.073541
99,99_DEEP LEARNING-BASED HAND-DRAWN ILLUSTRATION IN PACKAGING DESIGN OF CULTURAL AND CREATIVE PRODUCTS.pdf,True,True,False,100,,2025-10-15T15:17:51.073549
101,101_How to obtain customer requirements for each stage of the product life cycle from online reviews Using mobile phones as an example.pdf,True,True,False,102,,2025-10-15T15:17:51.073557
102,102_Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning.pdf,True,True,False,103,,2025-10-15T15:17:51.073565
104,104_Topology Optimization of Industrial Equipment A Deep Learning Approach and Software Implement.pdf,True,True,False,105,,2025-10-15T15:17:51.073573
105,105_Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques.pdf,True,True,False,106,,2025-10-15T15:17:51.073581
106,106_Fusion of ML with numerical simulation for optimized propeller design.pdf,True,True,False,107,,2025-10-15T15:17:51.073589
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs.pdf,True,True,False,109,,2025-10-15T15:17:51.073596
110,110_Nonlinear Time Series Fuzzy Regression for Developing Explainable Consumer Preferences' Models Based on Online Comments.pdf,True,True,False,111,,2025-10-15T15:17:51.073605
111,111_An approach to user knowledge acquisition in product design.pdf,True,True,False,112,,2025-10-15T15:17:51.073612
113,113_A cognitive analysis-based key concepts derivation approach for product design.pdf,True,True,False,114,,2025-10-15T15:17:51.073621
115,115_Data-driven multi-objective affective product design integrating three-dimensional form and color.pdf,True,True,False,116,,2025-10-15T15:17:51.073628
117,"117_An Integrated Modeling Framework for Automated Product Design, Topology Optimization, and Mechanical Simulation.pdf",True,True,False,118,,2025-10-15T15:17:51.073636
119,119_Weaving ML with Human Aesthetic Assessments to Augment Design Space Exploration An Automotive Wheel Design Case Study.pdf,True,True,False,120,,2025-10-15T15:17:51.073644
121,121_Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning application to vehicle crash safety.pdf,True,True,False,122,,2025-10-15T15:17:51.073652
122,122_Affective-Blue Design Methodology for Product Design Based on Integral Kansei Engineering.pdf,True,True,False,123,,2025-10-15T15:17:51.073659
123,123_NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN.pdf,True,True,False,124,,2025-10-15T15:17:51.073667
125,125_Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0.pdf,True,True,False,126,,2025-10-15T15:17:51.073674
128,128_Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI).pdf,True,True,False,129,,2025-10-15T15:17:51.073683
129,129_Efficiency Monitoring of Engineering System Designer Work Based on Multi-System User Behavior Analysis with AIML Algorithms.pdf,True,True,False,130,,2025-10-15T15:17:51.073691
130,130_Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design.pdf,True,True,False,131,,2025-10-15T15:17:51.073698
132,132_Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches.pdf,True,True,False,133,,2025-10-15T15:17:51.073706
134,"134_Graph models for engineering design Model encoding, and fidelity evaluation based on dataset and other sources of knowledge.pdf",True,True,False,135,,2025-10-15T15:17:51.073714
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems.pdf,True,True,False,136,,2025-10-15T15:17:51.073721
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning.pdf,True,True,False,137,,2025-10-15T15:17:51.073729
138,138_Research on design forms based on artificial intelligence collaboration model.pdf,True,True,False,139,,2025-10-15T15:17:51.073737
139,139_A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components.pdf,True,True,False,140,,2025-10-15T15:17:51.073744
