Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,"AI Assistance Types (Lee and Kim, 2025)","The DNN interpreted EEG data to provide insights into cognitive and attention states, which were use...",Y,1-5,100,EXACT,NONE,"The DNN interpreted EEG data to provide insights into cognitive and attention states, which were used as inputs for the GA. The GA applied evolutionary processes to a population of HMI designs, with fitness evaluated based on DNN predictions. This iterative process identified the most effective HMI configurations.","Found at the end of page 3, in the Methodology section after the framework description and before section 3.1",2025-11-07T17:05:39.548400
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Data About,The data collection procedure involved participants wearing the Mindwave EEG device and starting the...,Y,5-9,75,FUZZY,PARAPHRASE,"The data collection procedure involved participants wearing the Mindwave EEG device and starting the data collection app on a PC. The collected data included EEG raw data and five sub-frequency types: Delta, Theta, Alpha, Beta, Gamma, and e-Sense. Real-time EEG data acquisition can accurately monitor the driver's cognitive state during operation.","First two sentences found exactly in section 4.2 Data Collection on Page 9. However, the third sentence 'Real-time EEG data acquisition can accurately monitor the driver's cognitive state during operation' does not appear in the provided excerpt (pages 5-9).",2025-11-07T17:06:20.044271
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Data Modality,The data collection procedure involved participants wearing the Mindwave EEG device and starting the...,Y,5-9,85,SEMANTIC,PARAPHRASE,"The data collection procedure involved participants wearing the Mindwave EEG device and starting the data collection app on a PC. The collected data included EEG raw data and five sub-frequency types: Delta, Theta, Alpha, Beta, Gamma, and e-Sense. The experimental setup defined specific parameters for EEG data collection: a sampling rate of 512 Hz to ensure high-resolution data capture. The headset displayed the virtual driving environment, overlaying the AR HMI onto the physical control screens of the EV.","Reference text combines sentences from multiple sections: first two sentences from '4.2. Data Collection' (page 9), third sentence from '5.1. Analysis of EEG Data' (page 9), and final sentence from '4.1. Experimental Process' (page 8-9). All sentences exist verbatim but are presented here as a continuous passage rather than from their original separate locations.",2025-11-07T17:06:21.823669
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Design Discipline,This research explores the interaction design of the main control human-machine interaction interfac...,Y,5-9,75,FUZZY,PARAPHRASE,"This research explores the interaction design of the main control human-machine interaction interfaces (HMIs) for intelligent electric vehicles (EVs) by integrating neural network predictions with genetic algorithm optimizations. This study analyzed primary HMIs for intelligent electric vehicles (EVs) using established guidelines, industry standards, and the Electric Vehicle UI Design Specification. The 15 items were categorized into five factors: Factor 1: Layout mode, Factor 2: Interactive mode, Factor 3: Color mode, Factor 4: Feedback mode, Factor 5: Prompt model.","Partial match found across pages 5-6. The second sentence appears on page 5 (section 3.1) with minor OCR spacing issues. The third sentence about 15 items categorized into five factors appears on page 6 with exact factor names. However, the first sentence about 'exploring interaction design by integrating neural network predictions with genetic algorithm optimizations' does not appear in the provided excerpt (pages 5-9).",2025-11-07T17:06:29.648585
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,Design Discipline,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design an...",Y,1-5,85,SEMANTIC,PARAPHRASE,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design and assess the performance of 3D shapes. Computer-aided design (CAD) and engineering (CAE) tools accelerate various tasks in the automotive development process, particularly through virtual prototyping.","Found as two separate sentences: first sentence in Abstract (Page 1), second sentence in Introduction (Page 1). Reference text combines them into one continuous passage.",2025-11-07T17:06:44.254303
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Design Phase,This iterative process identified the most effective HMI configurations. The GA applied evolutionary...,Y,9-13,70,SEMANTIC,PARAPHRASE,"This iterative process identified the most effective HMI configurations. The GA applied evolutionary processes to a population of HMI designs, with fitness evaluated based on DNN predictions. After 185 iterations, the optimal individual was identified with a preference score of approximately 5.570. The simulation involved driving on a straight, two-lane city road for 5 min at a speed of 30 km/h. Participants included 32 university students (18 males, 14 females) aged 19 to 25, all specializing in product design.","Partial match found across pages 9, 12-13. The last three sentences appear as exact quotes: '185 iterations' and 'preference score of 5.570' on page 12-13, 'simulation on straight two-lane city road for 5 min at 30 km/h' on page 9, and 'participants 32 university students' on page 9. However, the opening sentences about 'iterative process' and 'GA applied evolutionary processes' do not appear verbatim - these concepts are discussed but with different wording throughout the excerpt.",2025-11-07T17:07:02.057608
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,Data Modality,3D point clouds which are a list of data point coordinates in 3D space are sampled directly from the...,Y,1-5,100,EXACT,NONE,"3D point clouds which are a list of data point coordinates in 3D space are sampled directly from the surface of the CAE models, require less pre-processing effort, and preserve enough geometric details. We sample 3500 shapes from the car class and each shape consists of 24578 points.","First sentence found on Page 2 in Section II.A (Related Work - autoencoders for 3D shapes). Second sentence found on Page 3 in Section III.A (Methodology - Pre-Processing). Both sentences appear exactly as quoted, though in different sections of the paper.",2025-11-07T17:07:07.513514
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,Data About,"In automotive digital development, engineers utilize multiplevirtualprototypingtoolstodesignandasses...",Y,1-5,95,EXACT,NONE,"In automotive digital development, engineers utilize multiplevirtualprototypingtoolstodesignandassesstheperformanceof3Dshapes. We envision a 3D design assistance system for design exploration with performance assessment in the automotive domain. We evaluate the accuracy of the multi-output surrogate model for predicting performance metrics of 3D car designs from the learned latent representations.","All three sentences found across Pages 1-2. First two sentences appear in the abstract (Page 1), with minor OCR spacing in 'multiplevirtualprototypingtoolstodesignandassess'. Third sentence found on Page 2 in the methodology overview section describing contributions.",2025-11-07T17:07:08.814867
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,AI methods,"Geometric deep-generative models, like autoencoders (AEs)[1] and variational autoencoders (VAEs) [2]...",Y,1-5,100,EXACT,NONE,"Geometric deep-generative models, like autoencoders (AEs)[1] and variational autoencoders (VAEs) [2] learn low-dimensional latent representations of 3D geometric models in an unsupervised fashion, which allows to efficiently explore the learned design features and generate novel realistic 3D designs [3], [4]. Furthermore, the latent space of autoencoders has also been utilized for many predictive tasks in the chemistry and biology domain[5], allowing the assessment of the chemical compounds before committing to an expensive synthesis.","Found in Page 1, second paragraph starting with 'State-of-the-art machine learning algorithms...' The text matches exactly with minor spacing artifacts from PDF line breaks and hyphenation.",2025-11-07T17:07:22.907842
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,Design Phase,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design an...",Y,1-5,100,EXACT,NONE,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design and assess the performance of 3D shapes. However, accurate performance simulations are computationally expensive and time-consuming, which may be prohibitive for design optimization tasks. To address this challenge, we envision a 3D design assistance system for design exploration with performance assessment in the automotive domain.","Found in the Abstract section on Page 1, first paragraph. Text matches word-for-word with only minor spacing variations due to PDF line breaks.",2025-11-07T17:07:24.112049
