index,filename,pdf_found,sheets_updated,error,timestamp
23,23_The TrollLabs open hackathon dataset Generative AI and large language models for prototyping in engineering design.pdf,True,True,,2025-10-14T16:51:06.941838
28,28_Using Artificial Intelligence Image Generators in Product Design Within Industry 4.0.pdf,True,True,,2025-10-14T16:51:09.399697
29,29_Deep reinforcement learning for engineering design through topology optimization of elementally discretized design domains.pdf,True,True,,2025-10-14T16:51:12.051623
101,101_How to obtain customer requirements for each stage of the product life cycle from online reviews Using mobile phones as an example.pdf,True,True,,2025-10-14T16:51:14.591209
148,148_Integrating and navigating engineering design decision-related knowledge using decision knowledge graph.pdf,True,True,,2025-10-14T16:51:17.143959
150,150_Configuration-Based Smart Customization Service A Multitask Learning Approach.pdf,True,True,,2025-10-14T16:51:19.513175
156,156_PIKAR A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design.pdf,True,True,,2025-10-14T16:51:21.810023
158,158_A Novel User Emotional Interaction Design Model Using Long and Short-Term Memory Networks and Deep Learning.pdf,True,True,,2025-10-14T16:51:24.335197
161,161_Exploring the Potential of Chatbots.pdf,True,True,,2025-10-14T16:51:26.682791
168,168_Empirical Evidence on Conversational Control of GUI in Semantic Automation.pdf,True,True,,2025-10-14T16:51:29.349567
173,173_Exploring the impact of integrated design on employee learning engagement in the ubiquitous learning context A deep learning-based hybrid multistage approach.pdf,True,True,,2025-10-14T16:51:31.685211
174,174_(Re-)connecting with Nature in Urban Life Engaging with Wildlife via AI-powered Wearables.pdf,True,True,,2025-10-14T16:51:34.055061
175,175_Society sync - Digitalize society management systems with artificial intelligence technologies.pdf,True,True,,2025-10-14T16:51:36.512141
176,176_User Feedback Design in AI-Driven Mood Tracker Mobile Apps_(1).pdf,True,True,,2025-10-14T16:51:38.876418
177,177_Boundary-Aware Supervoxel-Level Iteratively Refined Interactive 3D Image Segmentation With Multi-Agent Reinforcement Learning.pdf,True,True,,2025-10-14T16:51:41.196058
178,178_AI driven human-computer interaction design framework of virtual environment based on comprehensive semantic data analysis with feature extraction.pdf,True,True,,2025-10-14T16:51:43.553364
179,179_Conversations in the Cloud Crafting Harmony in AliCloud Computing Interaction Design.pdf,True,True,,2025-10-14T16:51:45.891921
180,180_Vehicle Multi-sensory User Interaction Design Research Based on MINDS Methods.pdf,True,True,,2025-10-14T16:51:48.283355
181,181_GANSpiration Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network.pdf,True,True,,2025-10-14T16:51:50.799932
182,182_Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive TextVoice Artificial Intelligence (AI) Agent.pdf,True,True,,2025-10-14T16:51:53.133689
183,183_Machine Learning Based User Interface Generation.pdf,True,True,,2025-10-14T16:51:55.512430
184,184_Interaction Design With Multi-Objective Bayesian Optimization.pdf,True,True,,2025-10-14T16:51:58.002687
185,185_A Checklist for the Usability Evaluation of Artificial Intelligence (AI) mHealth Applications Graphical User Interface.pdf,True,True,,2025-10-14T16:52:00.354963
186,186_User emotion recognition and indoor space interaction design a CNN model optimized by multimodal weighted networks.pdf,True,True,,2025-10-14T16:52:02.657862
187,187_AN EEG-BASED EMOTION RECOGNITION MODEL USING AN INTERACTION DESIGN FRAMEWORK AND DEEP LEARNING.pdf,True,True,,2025-10-14T16:52:05.025914
189,189_The Application of Deep Learning for the Evaluation of User Interfaces.pdf,True,True,,2025-10-14T16:52:07.378421
