Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Data Modality,The data collection procedure involved participants wearing the Mindwave EEG device and starting the...,Y,LOCAL,80,PARTIAL,NONE,"The data collection procedure involved participants wearing the Mindwave EEG device and starting the data collection app on a PC. The collected data included EEG raw data and five sub-frequency types: Delta, Theta, Alpha, Beta, Gamma, and e-Sense. The experimental setup defined specific parameters for EEG data collection: a sampling rate of 512 Hz to ensure high-resolution data capture. The headset displayed the virtual driving environment, overlaying the AR HMI onto the physical control screens of the EV.",Found via local text search (partial match - first 50 chars),2025-11-28T15:18:43.834077
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Data About,The data collection procedure involved participants wearing the Mindwave EEG device and starting the...,Y,LOCAL,80,PARTIAL,NONE,"The data collection procedure involved participants wearing the Mindwave EEG device and starting the data collection app on a PC. The collected data included EEG raw data and five sub-frequency types: Delta, Theta, Alpha, Beta, Gamma, and e-Sense. Real-time EEG data acquisition can accurately monitor the driver's cognitive state during operation.",Found via local text search (partial match - first 50 chars),2025-11-28T15:18:43.847845
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,"AI Assistance Types (Lee and Kim, 2025)","The DNN interpreted EEG data to provide insights into cognitive and attention states, which were use...",Y,LOCAL,80,PARTIAL,NONE,"The DNN interpreted EEG data to provide insights into cognitive and attention states, which were used as inputs for the GA. The GA applied evolutionary processes to a population of HMI designs, with fitness evaluated based on DNN predictions. This iterative process identified the most effective HMI configurations.",Found via local text search (partial match - first 50 chars),2025-11-28T15:19:12.612068
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Design Discipline,This research explores the interaction design of the main control human-machine interaction interfac...,Y,CANDIDATES,95,PARAPHRASE,NONE,"This research explores the interaction design of the main control human-machine interaction interfaces (HMIs) for intelligent electric vehicles (EVs) by integrating neural network predictions with genetic algorithm optimizations. This study analyzed primary HMIs for intelligent electric vehicles (EVs) using established guidelines, industry standards, and the Electric Vehicle UI Design Specification. The 15 items were categorized into five factors: Factor 1: Layout mode, Factor 2: Interactive mode, Factor 3: Color mode, Factor 4: Feedback mode, Factor 5: Prompt model.",,2025-11-28T15:19:52.572164
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Design Phase,This iterative process identified the most effective HMI configurations. The GA applied evolutionary...,Y,CANDIDATES,98,EXACT,NONE,"This iterative process identified the most effective HMI configurations. The GA applied evolutionary processes to a population of HMI designs, with fitness evaluated based on DNN predictions. After 185 iterations, the optimal individual was identified with a preference score of approximately 5.570. The simulation involved driving on a straight, two-lane city road for 5 min at a speed of 30 km/h. Participants included 32 university students (18 males, 14 females) aged 19 to 25, all specializing in product design.",,2025-11-28T15:19:58.366491
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,AI methods,This study utilizes a brain—computer interface (BCI)—based deep neural network (DNN) and genetic alg...,Y,CANDIDATES,70,PARAPHRASE,PARAPHRASE,"This study utilizes a brain—computer interface (BCI)—based deep neural network (DNN) and genetic algorithm (GA) method. The deep neural network (DNN) topology linking HMI visual coding to e-Sense prediction comprises three layers: an input layer with 26 neurons, three fully connected hidden layers, and an output layer with one neurone. The network utilized rectified linear unit (ReLU) activation functions across the hidden layers, with a regression layer at the output. Deep neural networks (DNNs) play a key role in the personalized human-machine interaction interfaces (HMIs) of intelligent electric vehicles. By analyzing complex user data, interactions are customized, the learning environment is optimized, and the user experience is enhanced.",,2025-11-28T15:19:59.421136
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Design Practice/Task,This research identified essential HMI elements for intelligent electric vehicles to understand user...,Y,LOCAL,80,PARTIAL,NONE,"This research identified essential HMI elements for intelligent electric vehicles to understand user interaction needs. The developed DNN-GA analyzed user behavior patterns from EEG data to predict preferences and attention levels during driving. These predictions guided the GA in optimizing HMI layouts. In this experiment, EEG data were measured using an AR system integrated into a real vehicle cockpit environment, providing an immersive and realistic driving experience. Participants sequentially interacted with the AR HMI prototype's main control interface, performing tasks such as adjusting the rearview mirror, turning on driving lights, adjusting the seat, closing the sunshade, activating the 360° driving camera, turning on music, and, finally, opening the map. This setup ensured a realistic and interactive evaluation of the HMI design.",Found via local text search (partial match - first 50 chars),2025-11-28T15:20:06.078888
45,Machine Learning Algorithms for Improved Product Design User Experience,Design Discipline,"Manxin Chen:
The core focus is enhancing product design user experience (UX) through algorithmic int...",Y,CANDIDATES,85,PARAPHRASE,PARAPHRASE,"Manxin Chen:
The core focus is enhancing product design user experience (UX) through algorithmic intelligence. The methodologies are applied in the context of consumer product interfaces.",,2025-11-28T15:20:30.784060
45,Machine Learning Algorithms for Improved Product Design User Experience,Data Modality,"Manxin Chen:
The data includes quantitative metrics such as conversion rates, task completion time, ...",Y,CANDIDATES,95,PARAPHRASE,NONE,"Manxin Chen:
The data includes quantitative metrics such as conversion rates, task completion time, and error frequencies.",,2025-11-28T15:20:32.044128
45,Machine Learning Algorithms for Improved Product Design User Experience,Data About,"Manxin Chen:
The dataset is primarily composed of user interaction logs, clickstream data, and time-...",N,CANDIDATES,85,NONE,HALLUCINATION,"Manxin Chen:
The dataset is primarily composed of user interaction logs, clickstream data, and time-on-task metrics collected from product prototypes. This captures explicit behavioral data indicative of user engagement and frustration.",,2025-11-28T15:20:35.628496
45,Machine Learning Algorithms for Improved Product Design User Experience,AI methods,"Manxin Chen:
The proposed framework extensively uses clustering algorithms (e.g., K-means) to segmen...",N,CANDIDATES,35,SEMANTIC,PARAPHRASE,"Manxin Chen:
The proposed framework extensively uses clustering algorithms (e.g., K-means) to segment users by behavior, and classification models (e.g., Random Forest, SVM) to predict dissatisfaction.",,2025-11-28T15:20:57.368999
45,Machine Learning Algorithms for Improved Product Design User Experience,Design Phase,"Manxin Chen:
The insights generated directly inform the iterative refinement and optimization of the...",Y,CANDIDATES,88,PARAPHRASE,NONE,"Manxin Chen:
The insights generated directly inform the iterative refinement and optimization of the product interface design.",,2025-11-28T15:20:58.171080
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,Design Discipline,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design an...",Y,LOCAL,80,PARTIAL,NONE,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design and assess the performance of 3D shapes. Computer-aided design (CAD) and engineering (CAE) tools accelerate various tasks in the automotive development process, particularly through virtual prototyping.",Found via local text search (partial match - first 50 chars),2025-11-28T15:21:01.264187
45,Machine Learning Algorithms for Improved Product Design User Experience,"AI Assistance Types (Lee and Kim, 2025)","Manxin Chen:
The primary goal is to predict potential user dissatisfaction (UX flaws) before widespr...",Y,CANDIDATES,72,PARAPHRASE,PARAPHRASE,"Manxin Chen:
The primary goal is to predict potential user dissatisfaction (UX flaws) before widespread product deployment, acting as a proactive warning system.",,2025-11-28T15:21:02.226473
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,Data About,"In automotive digital development, engineers utilize multiplevirtualprototypingtoolstodesignandasses...",Y,LOCAL,80,PARTIAL,NONE,"In automotive digital development, engineers utilize multiplevirtualprototypingtoolstodesignandassesstheperformanceof3Dshapes. We envision a 3D design assistance system for design exploration with performance assessment in the automotive domain. We evaluate the accuracy of the multi-output surrogate model for predicting performance metrics of 3D car designs from the learned latent representations.",Found via local text search (partial match - first 50 chars),2025-11-28T15:21:02.602027
45,Machine Learning Algorithms for Improved Product Design User Experience,Design Practice/Task,"Manxin Chen:
Machine Learning Algorithms for Improved Product Design User Experience.",Y,CANDIDATES,100,EXACT,NONE,"Manxin Chen:
Machine Learning Algorithms for Improved Product Design User Experience.",,2025-11-28T15:21:21.478793
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,AI methods,"Geometric deep-generative models, like autoencoders (AEs)[1] and variational autoencoders (VAEs) [2]...",Y,CANDIDATES,98,EXACT,NONE,"Geometric deep-generative models, like autoencoders (AEs)[1] and variational autoencoders (VAEs) [2] learn low-dimensional latent representations of 3D geometric models in an unsupervised fashion, which allows to efficiently explore the learned design features and generate novel realistic 3D designs [3], [4]. Furthermore, the latent space of autoencoders has also been utilized for many predictive tasks in the chemistry and biology domain[5], allowing the assessment of the chemical compounds before committing to an expensive synthesis.",,2025-11-28T15:21:23.195666
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,Design Phase,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design an...",Y,LOCAL,80,PARTIAL,NONE,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design and assess the performance of 3D shapes. However, accurate performance simulations are computationally expensive and time-consuming, which may be prohibitive for design optimization tasks. To address this challenge, we envision a 3D design assistance system for design exploration with performance assessment in the automotive domain.",Found via local text search (partial match - first 50 chars),2025-11-28T15:21:24.665258
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,Design Practice/Task,we envision a 3D design assistance system for design exploration with performance assessment in the ...,Y,LOCAL,80,PARTIAL,NONE,"we envision a 3D design assistance system for design exploration with performance assessment in the automotive domain. Recent advances in deep learning methods for learning geometric data are a promising step towards realizing such systems. by coupling the surrogate models to the autoencoders, we enable engineers to explore designs taking into account the estimated performance on different domains.",Found via local text search (partial match - first 50 chars),2025-11-28T15:21:25.651047
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,Data Modality,3D point clouds which are a list of data point coordinates in 3D space are sampled directly from the...,Y,CANDIDATES,75,PARAPHRASE,PARAPHRASE,"3D point clouds which are a list of data point coordinates in 3D space are sampled directly from the surface of the CAE models, require less pre-processing effort, and preserve enough geometric details. We sample 3500 shapes from the car class and each shape consists of 24578 points.",,2025-11-28T15:21:32.183570
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,"AI Assistance Types (Lee and Kim, 2025)",we use machine learning-based surrogate models to predict the performances of car shapes based on th...,Y,CANDIDATES,95,EXACT,NONE,"we use machine learning-based surrogate models to predict the performances of car shapes based on the low-dimensional representation learned by 3D point cloud (variational) autoencoders. Furthermore, we exploit the stochastic nature of the representation learned by variational autoencoders to augment the training data for our surrogate models. We utilize the regularized latent space of a variational point cloud autoencoder for fast design prototyping and data augmentation.",,2025-11-28T15:21:40.534772
136,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Design Discipline,"In modern industry and smart manufacturing, industries are being reshaped by two forces: the power o...",Y,CANDIDATES,98,EXACT,NONE,"In modern industry and smart manufacturing, industries are being reshaped by two forces: the power of crowds and artificial intelligence (AI) represented by large language models (LLMs). Under these two forces, the fields of engineering design and product innovation design are rapidly developing along two paths: crowd intelligence innovation (CII) represented by the Problem–Solution (P-S) Co-evolution Model, and AI-Generated Content (AIGC), which utilizes AI technology to generate content.",,2025-11-28T15:21:43.648162
136,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Data About,"This study extracts the above design concepts from 39,463 patents to form the technical domain set T...",Y,CANDIDATES,100,EXACT,NONE,"This study extracts the above design concepts from 39,463 patents to form the technical domain set T (|T|=582), the physical structural domain set S (|S|=4420), and the functional domain set F (|F|=24246). Chinese invention patents are selected as the knowledge source, and the relevant data can be downloaded from the Patent Data Service Pilot System of the State Intellectual Property Office.",,2025-11-28T15:21:49.689559
136,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,"AI Assistance Types (Lee and Kim, 2025)","ConceptTM, a generative reasoning method, can perform Bayesian reasoning according to the given tech...",Y,LOCAL,80,PARTIAL,NONE,"ConceptTM, a generative reasoning method, can perform Bayesian reasoning according to the given technical field and function to obtain the qualified physical set; G-Designer, a generative reasoning method, can mine their hierarchical relationships based on a given physical set to generate the design of the product architecture.",Found via local text search (partial match - first 50 chars),2025-11-28T15:21:54.641557
136,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Data Modality,Knowledge-based design (KBD) combined with design cognition (DC) mostly utilizes data sources in the...,Y,CANDIDATES,100,EXACT,NONE,"Knowledge-based design (KBD) combined with design cognition (DC) mostly utilizes data sources in the form of natural language text. In this study, Chinese invention patents are selected as the knowledge source, and the relevant data can be downloaded from the Patent Data Service Pilot System of the State Intellectual Property Office. In this study, the full text of patent text is utilized to train the Skip-gram model so as to obtain the contextual semantic vectors of all the relevant knowledge elements.",,2025-11-28T15:22:04.562758
136,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,AI methods,"Based on the topic model, a statistical model widely used in semantic analysis and text mining, Conc...",Y,CANDIDATES,90,EXACT,NONE,"Based on the topic model, a statistical model widely used in semantic analysis and text mining, ConceptTM, is proposed to generate a set of physical structures containing implicit connections for a given technical field and functional requirements. ConceptTM adopts the PGM, especially the infrastructure of the topic model, to systematically express the complex and implicit correlations among physical structures. The modeling thinking of the probabilistic topic model is to regard the text as the probability distribution of the topic; that is, each text is composed of several topics, and the topic is regarded as the probability distribution of words.",,2025-11-28T15:22:13.311641
96,Product Innovation Design Method Based on BP Neural Network,Design Discipline,"Product design is the core content of industrial design, the materialized embodiment of consumer dem...",Y,LOCAL,80,PARTIAL,NONE,"Product design is the core content of industrial design, the materialized embodiment of consumer demand, and the material basis for the survival and development of enterprises. Therefore, product innovation design is of great significance to consumers, enterprises, and even the country. By morphological analysis, the sweeping robot is divided into body panel, operation panel, handle, and power button, and subdivided into 11 categories.",Found via local text search (partial match - first 50 chars),2025-11-28T15:22:13.900189
