Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems,Data Modality,With the objective of exploring the difference in performance between the finetuned BERT model and C...,Y,1-5,100,EXACT,NONE,"With the objective of exploring the difference in performance between the finetuned BERT model and ChatGPT, a domain-specific phrase-level dataset collected from 43 design reports (Qiu et al., 2023) is employed. This domain-specific dataset, originally used for finetuning the BERT-base model, consists of 1247 sequences categorized into three classes","Page 4, under 'Tasks and Datasets:' section, second paragraph after the heading",2025-11-07T17:20:00.381561
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems,Design Discipline,This signals a future in AI-augmented engineering design where the robust capabilities of AI technol...,Y,1-5,100,EXACT,NONE,"This signals a future in AI-augmented engineering design where the robust capabilities of AI technologies integrate with human creativity and innovation, creating a dynamic interactions to redefine how we tackle design challenges.","End of abstract section on page 1, final sentence",2025-11-07T17:20:01.517025
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,AI methods,"Among those various DL algorithms, convolutional neural networks (CNNs) are broadly used in surrogat...",Y,1-5,100,EXACT,NONE,"Among those various DL algorithms, convolutional neural networks (CNNs) are broadly used in surrogate modeling because of their effectiveness in representing the spatial correlation between data. The spatial correlation representation has the most potent efficiency in image-to-image surrogate modeling.","Found in Page 3, Section 2.1 'Convolutional neural networks (CNNs)', first paragraph. Text matches exactly except for citation '[24]' after 'data'.",2025-11-07T17:20:03.848233
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,Design Discipline,The design of strongly coupled multidisciplinary engineering systems is challenging since it is char...,Y,1-5,95,FUZZY,OCR_ERROR,The design of strongly coupled multidisciplinary engineering systems is challenging since it is characterized by the complex interaction of different disciplines. The proposed framework's efficacy and applicability are addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.,"Both sentences found in Page 1 abstract section. First sentence appears at the start of the abstract, second sentence appears near the end of the abstract.",2025-11-07T17:20:04.161767
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems,Data About,This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domai...,Y,1-5,100,EXACT,NONE,"This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system. A requirement in a document describes the problem statement, customer needs, or background of a design problem. A function represents the functional property of a proposed product in the conceptual design process. Solutions are the concepts generated from the design process based on customer needs and proposed functions.",First sentence found in Page 1 Abstract. Remaining sentences (requirement/function/solution definitions) found in Page 4 Table 1 (R-F-S ontology definitions).,2025-11-07T17:20:04.678932
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,Design Phase,"this research proposes a framework of CNN-based deep surrogate model (DSM), developing a novel input...",Y,1-5,95,FUZZY,NONE,"this research proposes a framework of CNN-based deep surrogate model (DSM), developing a novel input structure called physics-informed artificial image (PiAI). The proposed framework's efficacy and applicability are addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.","Found in abstract section on Page 1. The reference text appears across two sentences with minor variation: the phrase 'To address those issues, therefore,' precedes the first sentence in the PDF but is omitted in the reference text. Otherwise matches word-for-word.",2025-11-07T17:20:05.393951
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,Design Practice/Task,The design of strongly coupled multidisciplinary engineering systems is challenging since it is char...,Y,1-5,75,FUZZY,PARAPHRASE,"The design of strongly coupled multidisciplinary engineering systems is challenging since it is characterized by the complex interaction of different disciplines. Surrogate models, thus, can provide a tractable alternative to arduous physics-based simulations or experiments. The applicability and efficacy of the framework will be addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.",Reference text is a compilation from multiple locations: First sentence appears exactly in the abstract (Page 1). Second sentence appears exactly in the Introduction section (Page 1). Third sentence appears in the abstract but with variations: 'efficacy and applicability are addressed' vs 'applicability and efficacy will be addressed'.,2025-11-07T17:20:10.760806
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,Data About,The design of multi-physics engineering systems requires a high volume of design parameters derived ...,Y,1-5,85,FUZZY,PARAPHRASE,"The design of multi-physics engineering systems requires a high volume of design parameters derived from complicatedly interacting disciplines. This research provides a framework of CNN-based deep surrogate model (DSM), developing a novel input structure called physics-informed artificial image (PiAI). The proposed framework's efficacy and applicability are addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.",Found across Page 1 Introduction and Abstract sections. First sentence appears exactly in Introduction. Third sentence appears exactly in Abstract. Second sentence appears in Abstract but with 'proposes' instead of 'provides'.,2025-11-07T17:20:12.009285
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems,AI methods,"Large Language Models (LLMs), like ChatGPT, have sparked considerable interest among researchers acr...",Y,1-5,85,SEMANTIC,PARAPHRASE,"Large Language Models (LLMs), like ChatGPT, have sparked considerable interest among researchers across diverse disciplines owing to their remarkable text processing and generation capabilities. This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system.","Found in Page 1 abstract section, but reference text omits middle sentence. First sentence matches exactly, then jumps to 'This study aims to...' which appears 2 sentences later in the PDF, skipping the sentence about ChatGPT being employed for general knowledge tasks.",2025-11-07T17:20:22.694908
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems,Design Phase,This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domai...,Y,1-5,100,EXACT,NONE,This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system. our ongoing research seeks to develop a document-understanding-based intelligent design support system called DocUDS.,First sentence found in Abstract on Page 1. Second sentence found at beginning of Section 3 on Page 3.,2025-11-07T17:20:23.228626
