index,title,assigned_to,pdf_found,decision,reason,ai_method_found,design_task,has_empirical_study,sheets_updated,error,timestamp
101,How to obtain customer requirements for each stage of the product life cycle from online reviews: Using mobile phones as an example,J,True,N,"AI only extracts customer requirements from online reviews, providing indirect insights for designers. It does not directly generate, optimize, or assist in creating design outputs. No specific AI algorithm is mentioned.",None,None,True,False,,2025-10-15T12:57:52.584510
123,NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN,J,True,Y,"AI (Gradient Boosting) directly supports design tasks by providing real-time structural analysis during custom product design, enabling designers to validate and optimize designs interactively rather than post-hoc analysis.",Gradient Boosting,Real-time structural validation and optimization in custom product design,True,True,,2025-10-15T12:58:25.581808
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,J,True,Y,"AI directly predicts machine geometry and design specifications (design parameters) based on input data, which constitutes direct design support in engineering design processes.","Decision/Regression Tree, k-Nearest Neighbors, Neighborhood Component Features Selection",Prediction of machine geometry and design specifications for engineering design,True,True,,2025-10-15T12:59:03.071280
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),J,True,N,"AI analyzes customer reviews to identify product attributes affecting satisfaction, but does not directly create, generate, or optimize design outputs. Designers would use insights separately.","Latent Dirichlet Allocation (LDA), Gradient Boost trees",None,True,False,,2025-10-15T12:59:39.426826
129,Efficiency Monitoring of Engineering System Designer Work Based on Multi-System User Behavior Analysis with AI/ML Algorithms,J,True,N,"AI analyzes and monitors designer work efficiency through user behavior tracking, but does not directly generate, optimize, or assist in creating design outputs. This is productivity monitoring, not design task support.",None,None,False,False,,2025-10-15T13:00:07.394919
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,J,True,Y,"Text-to-Image AI models directly generate and support conceptual product design by creating visual shapes and forms. This is direct design output, not just analysis or insights.",Text-to-Image AI models (generative AI),Shape exploration and concept generation in product design,True,True,,2025-10-15T13:00:40.977130
132,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,J,True,N,"The AI evaluates and rates existing product designs for repairability but does not directly create, generate, optimize, or assist in producing new design outputs. It provides assessment scores that could indirectly inform design decisions.","ConvNeXt, GoogLeNet, ResNet50, VGG16, ORB, k-means clustering",None,True,False,,2025-10-15T13:01:11.660446
134,"Graph models for engineering design: Model encoding, and fidelity evaluation based on dataset and other sources of knowledge",J,True,N,"No specific AI/ML method explicitly mentioned (only generic 'machine learning-based'). The AI creates simulation models for analysis rather than directly generating, optimizing, or assisting in producing design outputs.",None,None,True,False,,2025-10-15T13:01:45.122754
135,ChatGPT and finetuned BERT: A comparative study for developing intelligent design support systems,J,True,N,"AI performs text classification and generation tasks to build design support infrastructure, but does not directly create, generate, or optimize design outputs. The study evaluates NLP capabilities rather than direct design task performance.","ChatGPT, BERT (finetuned)",None,True,False,,2025-10-15T13:02:16.944481
136,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,J,True,Y,"The paper uses LLMs and knowledge reasoning to directly generate physical structures and system architectures for engineering design, with an Intelligent Design Assistant (IDA) tool that produces design solutions.",Large Language Model (LLM),Physical structure generation and system architecture generation for engineering design,True,True,,2025-10-15T13:02:52.370139
138,Research on design forms based on artificial intelligence collaboration model,J,True,Y,"AI directly generates and optimizes design forms through AIGC tools (Midjourney, Stable Diffusion) and topology optimization. The paper focuses on AI-assisted design form creation as the primary output.","Midjourney, Stable Diffusion (diffusion models), Genetic Algorithm, Topology Optimization","Design form generation, shape finding and shape making for industrial design",True,True,,2025-10-15T13:03:23.115885
