index,title,assigned_to,pdf_found,decision,reason,ai_method_found,design_task,has_empirical_study,sheets_updated,error,timestamp
101,How to obtain customer requirements for each stage of the product life cycle from online reviews: Using mobile phones as an example,J,True,N,"AI only analyzes online reviews to extract customer requirements, but does not directly create, generate, or optimize design outputs. Designers use these insights separately to create designs, making this indirect support only.",None,None,True,True,,2025-10-15T14:09:05.209362
123,NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN,J,True,N,"AI predicts structural properties for validation purposes but does not directly generate, optimize, or create design outputs. The ML model provides analytical support (structural analysis predictions) rather than direct design assistance.",Gradient Boosting,None,True,True,,2025-10-15T14:09:39.406008
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,J,True,Y,"AI directly predicts machine geometry and design parameters to support engineering design decisions, which is a direct design output rather than just analytical insights.","Decision Tree, k-Nearest Neighbors, Neighborhood Component Features Selection",Machine geometry and design parameter prediction,True,True,,2025-10-15T14:10:30.197997
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),J,True,N,"AI analyzes customer reviews to identify product attributes affecting ratings, but does NOT directly generate, optimize, or assist in creating design outputs. This provides insights for designers but is indirect support only.","Latent Dirichlet Allocation (LDA), Gradient Boost trees",None,True,True,,2025-10-15T14:11:04.426238
129,Efficiency Monitoring of Engineering System Designer Work Based on Multi-System User Behavior Analysis with AI/ML Algorithms,J,True,N,"AI only monitors and analyzes designer work efficiency by tracking user behavior, but does not directly perform or support design tasks. Designers create designs separately using CAD tools while AI tracks activities.",None,None,False,True,,2025-10-15T14:11:39.502955
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,J,True,Y,"Text-to-Image AI models directly generate product design concepts and shapes for conceptual design, which is a direct design creation task, not just analysis or insights.",Text-to-Image AI models (generative models such as diffusion models/GANs),Product design concept generation and shape exploration for conceptual product design,True,True,,2025-10-15T14:12:14.101897
132,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,J,True,N,"The AI evaluates and rates repairability of existing products but does not directly generate, optimize, or create design outputs. It provides assessment scores that inform design decisions indirectly.","ConvNeXt, GoogLeNet, ResNet50, VGG16, ORB, k-means clustering",None,True,True,,2025-10-15T14:12:46.484532
134,"Graph models for engineering design: Model encoding, and fidelity evaluation based on dataset and other sources of knowledge",J,True,N,"AI creates simulation models for engineering systems rather than directly performing design tasks. The support for design is indirect - models enable better design reasoning but AI doesn't generate, optimize, or create design outputs.",None,None,True,True,,2025-10-15T14:13:21.794809
135,ChatGPT and finetuned BERT: A comparative study for developing intelligent design support systems,J,True,N,"AI performs text classification and generation for knowledge transfer/data labeling to support designers, but does NOT directly generate, optimize, or create design outputs. It provides information support rather than direct design assistance.","ChatGPT (GPT), BERT",None,True,True,,2025-10-15T14:13:58.152881
136,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,J,True,Y,AI directly generates design outputs including discrete physical structure sets and system architectures through knowledge reasoning and LLM. The Intelligent Design Assistant (IDA) tool directly supports engineering design tasks.,Large Language Model (LLM),Engineering design - generating physical structures and system architectures,True,True,,2025-10-15T14:14:39.748144
138,Research on design forms based on artificial intelligence collaboration model,J,True,Y,"AI tools (Midjourney, Stable Diffusion) directly generate and optimize product design forms. The study uses generative AI to create design outputs, combined with topology optimization and genetic algorithms for form-finding.","Stable Diffusion, Midjourney, Genetic Algorithm, Topology Optimization",Product form generation and optimization for industrial design,True,True,,2025-10-15T14:15:12.816072
139,A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components,J,True,Y,"GAN directly generates 3D structural component designs with improved mechanical properties through an iterative design framework, which is a direct design generation task, not just analysis.",Generative Adversarial Networks (GANs),3D structural component design generation and optimization,True,True,,2025-10-15T14:15:45.694741
141,"Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques",J,True,N,"The AI summarizes RFQ documents and extracts specifications to help engineers understand requirements, but does not directly create, generate, or optimize design outputs. It provides indirect support by processing documentation.","K-means, TextRank, TF-IDF, word-embedding",None,True,True,,2025-10-15T14:16:17.047530
143,Plan-Based Derivation of General Functional Structures in Product Design,J,True,Y,"AI planning algorithms with logic-based solvers directly generate functional structures for product design, which is a crucial first step in the design process. The AI directly produces design outputs, not just analysis.",Automated planning with logic-based solvers,Functional decomposition and structure generation for product design,True,True,,2025-10-15T14:16:51.979755
